,portfolio,benchmark
2015-01-02,1.0,1.0
2015-01-05,0.9771491642087123,0.9817218929161403
2015-01-06,0.9619853482256197,0.9729909629773589
2015-01-07,0.9769310324897693,0.9843066757360802
2015-01-08,0.9927973938159044,1.001914294043339
2015-01-09,0.9885994255792105,0.993494315421242
2015-01-12,0.9751007280727436,0.9854533087163543
2015-01-13,0.970625692637445,0.9829122534253233
2015-01-14,0.9642649752583212,0.977198522981246
2015-01-15,0.9508666306848249,0.9681615003401032
2015-01-16,0.9687760336844883,0.9811582936546499
2015-01-20,0.9716300883652093,0.9826790399378098
2015-01-21,0.9806654477447619,0.9873287338451073
2015-01-22,0.9950657959186189,1.0024050140899816
2015-01-23,0.990845898330689,0.9969002040618018
2015-01-26,0.9944996097884293,0.9994606938101256
2015-01-27,0.9860079547522315,0.9860800699640464
2015-01-28,0.9736752403637087,0.9727723253328153
2015-01-29,0.9822242905822671,0.9820474200757947
2015-01-30,0.9668606624201166,0.9692886988630846
2015-02-02,0.9759036249625432,0.9818530755028668
2015-02-03,0.9921797985290065,0.9960305120979501
2015-02-04,0.9875472664732188,0.9918909726945879
2015-02-05,0.993525542180478,1.0020989213876206
2015-02-06,0.9892388666353374,0.9986735982897679
2015-02-09,0.9837558447585489,0.9944320279856187
2015-02-10,0.9979778578534939,1.0050481002818
2015-02-11,0.9976449433313036,1.0050189485958607
2015-02-12,1.0122159975582923,1.0147118841706348
2015-02-13,1.0208675191131078,1.0188465649596736
2015-02-17,1.0204619567651856,1.0204742007579441
2015-02-18,1.0189106509246801,1.0201535322126132
2015-02-19,1.0241870980391716,1.0190700612185406
2015-02-20,1.0321846564190813,1.0253133806238464
2015-02-23,1.0339736738076115,1.0250024293071618
2015-02-24,1.0330690976977484,1.0278301428432615
2015-02-25,1.0352920794332265,1.027043047322904
2015-02-26,1.0355414112687427,1.025527159654067
2015-02-27,1.0321489503159704,1.0224953843163933
2015-03-02,1.0398960366527263,1.0287581381789916
2015-03-03,1.0360580979560228,1.0240890098144015
2015-03-04,1.0309205007226145,1.019594791565446
2015-03-05,1.0356949985043788,1.020814303760568
2015-03-06,1.018510119466133,1.0063453503060933
2015-03-09,1.0233914853004258,1.0103148382081433
2015-03-10,1.007570608464386,0.9931785054902345
2015-03-11,1.0080782161164754,0.991273928675542
2015-03-12,1.0202114660615735,1.0037654261004763
2015-03-13,1.0147383812062671,0.9976678651248667
2015-03-16,1.02947443287655,1.0111699543290256
2015-03-17,1.0281314838097624,1.0078126518316979
2015-03-18,1.0416725595488956,1.0200660771547956
2015-03-19,1.0433836248539856,1.015095714702167
2015-03-20,1.050567620480676,1.0242444854727433
2015-03-23,1.0455025168710432,1.0224565154018075
2015-03-24,1.0408283191394896,1.0161791856962394
2015-03-25,1.0211580816109325,1.0013847050821107
2015-03-26,1.0189349030079682,0.9990039840637452
2015-03-27,1.023233893642046,1.0013701292391413
2015-03-30,1.033481106547743,1.013623554562239
2015-03-31,1.0230614069327189,1.0047079972791761
2015-04-01,1.0158262176367197,1.0007239335341562
2015-04-02,1.0185057479506232,1.004256146147119
2015-04-06,1.0273990901322188,1.0108930133126035
2015-04-07,1.0243550108765147,1.0088086677679529
2015-04-08,1.029903108796014,1.0115149159459724
2015-04-09,1.0343277427600692,1.0160237100378975
2015-04-10,1.0382954721691902,1.0213098824215336
2015-04-13,1.034997410362255,1.016631036828297
2015-04-14,1.0365559896538517,1.0182878243125064
2015-04-15,1.0428696776314679,1.0235302691672339
2015-04-16,1.0415333903236663,1.0227334564182298
2015-04-17,1.029746960780756,1.0111650957147027
2015-04-20,1.0397686274810753,1.0205033524438838
2015-04-21,1.0432159972982034,1.01899232338937
2015-04-22,1.0466004763270387,1.0241764648722191
2015-04-23,1.0484208986681047,1.026591196190847
2015-04-24,1.0460707560606748,1.0289038966086879
2015-04-27,1.03900955079084,1.0246428918472457
2015-04-28,1.0368790756666946,1.0274803226119917
2015-04-29,1.0291739087099443,1.0236371586823443
2015-04-30,1.0201025930266001,1.0132688757166461
2015-05-01,1.0319036447580143,1.0243367991448844
2015-05-04,1.033794677996167,1.0273491400252652
2015-05-05,1.0197144466358508,1.0151880283743082
2015-05-06,1.0128300324584403,1.0106646584394137
2015-05-07,1.0221101876127545,1.0144786706831217
2015-05-08,1.033324427237785,1.0281313769312996
2015-05-11,1.0311332192294347,1.0228986493052186
2015-05-12,1.0258940523556097,1.0198814498105144
2015-05-13,1.025207339119414,1.01957049849383
2015-05-14,1.0350448666517746,1.0305606840928971
2015-05-15,1.0368881777670944,1.031352638227578
2015-05-18,1.0427349174321374,1.034496161694685
2015-05-19,1.0410752269461205,1.0338305315324074
2015-05-20,1.0381145948747312,1.0328685258964148
2015-05-21,1.043001907201439,1.035283257215043
2015-05-22,1.042221990261373,1.032970556797202
2015-05-26,1.029644193012944,1.0223496258866978
2015-05-27,1.0373369086725706,1.0317170343018178
2015-05-28,1.032497961241758,1.0304100670488783
2015-05-29,1.027353789108968,1.0238995238557969
2015-06-01,1.031552814657432,1.0260081624720636
2015-06-02,1.0339768014238566,1.024973277621223
2015-06-03,1.0354769740274674,1.0271450782236913
2015-06-04,1.0272292736184856,1.0182878243125066
2015-06-05,1.0307170141967852,1.016825381401225
2015-06-08,1.0212547001244787,1.0102419589932958
2015-06-09,1.0194852417942482,1.0106646584394139
2015-06-10,1.0320189191314995,1.0228354873190173
2015-06-11,1.0323359577949949,1.024613740161307
2015-06-12,1.0265987607136275,1.0174472840345943
2015-06-15,1.0233481059924374,1.0127441453697414
2015-06-16,1.0285976357112363,1.0185064619570507
2015-06-17,1.03501127003688,1.0205227869011768
2015-06-18,1.049609658925986,1.0306287046934224
2015-06-19,1.0470609382386669,1.025162763579828
2015-06-22,1.052802954179605,1.031410941599457
2015-06-23,1.053003712066167,1.0320668545330882
2015-06-24,1.0435775717726128,1.0244776989602578
2015-06-25,1.0451058196376424,1.0214313477796144
2015-06-26,1.0427244947017873,1.0210329414051122
2015-06-29,1.014938665979162,0.9997279175979021
2015-06-30,1.0210544641949943,1.00238557963269
2015-07-01,1.026695362753224,1.009338256729182
2015-07-02,1.0293276576117851,1.0090273054124976
2015-07-06,1.0217225507365582,1.0051306967252953
2015-07-07,1.028082270242707,1.0112428335438746
2015-07-08,1.0065822270355715,0.9944028762996806
2015-07-09,1.0096249933948076,0.9966524147313199
2015-07-10,1.026189698255174,1.0089495675833264
2015-07-13,1.0393604189555292,1.0201146632980285
2015-07-14,1.0430064920049917,1.0246574676902158
2015-07-15,1.0382353501218016,1.0239043824701206
2015-07-16,1.0414629351863445,1.032110582061997
2015-07-17,1.044746596783207,1.0332523564279477
2015-07-20,1.0444879161511436,1.0340491691769518
2015-07-21,1.0406994270944843,1.0296424059858138
2015-07-22,1.0416292504154772,1.0271839471382773
